,src_port,dst_port,duration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,max_fpktl,mean_fpktl,std_fpktl,min_bpktl,max_bpktl,mean_bpktl,std_bpktl,flowBytesPerSecond,flowPktsPerSecond,mean_flowiat,std_flowiat,max_flowiat,min_flowiat,total_fiat,mean_fiat,std_fiat,max_fiat,min_fiat,total_biat,mean_biat,max_biat,min_biat,fpsh_cnt,bpsh_cnt,fPktsPerSecond,bPktsPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,var_flowpktl,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,downUpRatio,avgPacketSize,fAvgSegmentSize,bAvgSegmentSize,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bAvgPacketsPerBulk,bAvgBulkRate,fSubFlowAvgPkts,fSubFlowAvgBytes,bSubFlowAvgPkts,bSubFlowAvgBytes,fInitWinSize,bInitWinSize,fDataPkts,fHeaderSizeMin,mean_active_s,max_active_s
226,1,128,0,0,45,2,2,3,3,3,0,56,3,9,0,1,1,0,0,0,0,0,0,0,224,224,0,0,224,0,56,0,0,46,0,2,3,3,0,0,0,225,37,17,6,3,2,0,6,75,150,112,150,0,2,45,2,0,0,0,3,0,0
227,191,0,2,56,45,8,9,0,1,1,0,225,13,38,0,0,0,3,5,7,0,5,3,8,0,0,0,0,0,0,0,112,0,0,8,10,7,7,0,225,0,0,37,69,2,7,0,28,7,150,180,112,90,56,8,45,9,1,1,56,0,3,3
228,151,0,107,84,45,16,3,0,7,2,4,77,4,13,0,0,0,114,115,142,0,203,94,137,0,0,0,0,0,0,56,0,0,0,8,6,4,3,0,225,225,0,37,69,17,4,1,0,20,93,175,112,140,84,16,45,3,220,222,84,0,152,152
229,0,153,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,196,1,73,28,45,3,3,0,1,0,1,77,4,13,0,0,0,154,191,191,0,138,191,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,225,225,0,17,5,1,0,0,9,75,168,112,168,28,3,45,3,220,92,28,0,103,103
231,133,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
232,1,168,0,28,45,8,2,3,4,3,1,69,4,11,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,2,71,8,3,5,2,0,225,0,0,75,51,11,5,2,0,9,112,168,112,112,28,8,45,2,0,1,28,3,0,0
233,178,1,0,28,0,5,0,0,3,1,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,2,0,8,2,3,2,0,225,0,0,37,34,3,3,1,0,0,0,0,0,0,28,5,0,0,1,0,28,0,0,0
234,1,168,0,0,90,3,5,4,4,4,0,69,4,11,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,5,56,0,0,9,8,3,3,2,0,225,0,0,37,51,2,3,3,0,7,75,112,168,168,0,3,90,5,0,1,0,4,0,0
235,1,181,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,1,168,225,0,0,2,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,56,0,0,0,30,2,6,0,0,225,0,0,37,17,3,6,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0
237,178,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,165,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,1,181,0,0,45,2,2,3,3,3,0,56,3,9,0,2,1,0,0,0,0,0,0,0,224,224,0,0,224,0,56,0,0,57,0,2,3,3,0,0,0,225,37,17,6,3,2,0,6,75,150,112,150,0,2,45,2,0,0,0,3,0,0
240,1,225,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,225,0,0,225,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
