,src_port,dst_port,duration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,max_fpktl,mean_fpktl,std_fpktl,min_bpktl,max_bpktl,mean_bpktl,std_bpktl,flowBytesPerSecond,flowPktsPerSecond,mean_flowiat,std_flowiat,max_flowiat,min_flowiat,total_fiat,mean_fiat,std_fiat,max_fiat,min_fiat,total_biat,mean_biat,max_biat,min_biat,fpsh_cnt,bpsh_cnt,fPktsPerSecond,bPktsPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,var_flowpktl,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,downUpRatio,avgPacketSize,fAvgSegmentSize,bAvgSegmentSize,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bAvgPacketsPerBulk,bAvgBulkRate,fSubFlowAvgPkts,fSubFlowAvgBytes,bSubFlowAvgPkts,bSubFlowAvgBytes,fInitWinSize,bInitWinSize,fDataPkts,fHeaderSizeMin,mean_active_s,max_active_s
268,179,1,67,28,45,3,3,0,1,0,1,77,4,13,0,0,0,143,178,178,0,128,178,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,225,225,0,17,5,1,0,0,9,75,168,112,168,28,3,45,3,220,92,28,0,96,96
269,0,194,0,28,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,225,0,0,0,34,3,1,0,0,0,0,0,0,0,28,4,0,0,1,0,28,0,0,0
270,191,0,0,56,45,8,9,0,1,1,0,225,13,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,2,8,10,7,7,0,225,0,0,37,69,2,7,0,28,7,150,180,112,90,56,8,45,9,1,1,56,0,0,0
271,217,1,26,0,45,0,2,0,0,0,0,56,3,9,0,0,0,113,0,70,113,0,0,0,224,224,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,225,0,17,3,0,0,0,4,75,225,112,225,0,0,45,2,1,0,0,0,38,38
272,1,148,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,145,1,0,84,90,12,8,0,1,1,0,94,6,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,3,8,3,3,1,0,225,0,0,75,103,4,3,0,6,8,187,160,168,96,84,12,90,8,1,0,84,0,0,0
274,1,173,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,225,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,1,209,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,1,209,0,28,45,8,2,3,4,3,1,69,4,11,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,1,49,8,3,5,2,0,225,0,0,75,51,11,5,2,0,9,112,168,112,112,28,8,45,2,0,1,28,3,0,0
277,1,173,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,225,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,206,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
279,1,148,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,145,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
281,1,148,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,179,1,67,28,45,3,3,0,1,0,1,77,4,13,0,0,0,143,178,178,0,128,178,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,225,225,0,17,5,1,0,0,9,75,168,112,168,28,3,45,3,220,92,28,0,96,96
283,0,194,0,28,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,225,0,0,0,34,3,1,0,0,0,0,0,0,0,28,4,0,0,1,0,28,0,0,0
284,191,0,0,56,45,8,9,0,1,1,0,225,13,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,2,8,10,7,7,0,225,0,0,37,69,2,7,0,28,7,150,180,112,90,56,8,45,9,1,1,56,0,0,0
285,217,1,26,0,45,0,2,0,0,0,0,56,3,9,0,0,0,113,0,70,113,0,0,0,224,224,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,225,0,17,3,0,0,0,4,75,225,112,225,0,0,45,2,1,0,0,0,38,38
286,1,148,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,145,1,0,84,90,12,8,0,1,1,0,94,6,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,3,8,3,3,1,0,225,0,0,75,103,4,3,0,6,8,187,160,168,96,84,12,90,8,1,0,84,0,0,0
288,1,173,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,225,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,1,209,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,1,209,0,28,45,8,2,3,4,3,1,69,4,11,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,1,49,8,3,5,2,0,225,0,0,75,51,11,5,2,0,9,112,168,112,112,28,8,45,2,0,1,28,3,0,0
291,1,173,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,225,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,206,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
293,1,148,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
