flow,src,src_port,dst,dst_port,protocol,timestamp,duration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,max_fpktl,mean_fpktl,std_fpktl,min_bpktl,max_bpktl,mean_bpktl,std_bpktl,flowBytesPerSecond,flowPktsPerSecond,mean_flowiat,std_flowiat,max_flowiat,min_flowiat,total_fiat,mean_fiat,std_fiat,max_fiat,min_fiat,total_biat,mean_biat,std_biat,max_biat,min_biat,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,var_flowpktl,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,avgPacketSize,fAvgSegmentSize,bAvgSegmentSize,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,fSubFlowAvgPkts,fSubFlowAvgBytes,bSubFlowAvgPkts,bSubFlowAvgBytes,fInitWinSize,bInitWinSize,fDataPkts,fHeaderSizeMin,mean_active_s,std_active_s,max_active_s,min_active_s,mean_idle_s,std_idle_s,max_idle_s,min_idle_s,label
192.168.100.7:59090<->13.227.250.65:443,192.168.100.7,59090,13.227.250.65,443,TCP,0,0.119182336,1,1,66,54,66,66,66.0,0.0,54,54,54.0,0.0,1006.8606139755475,16.78101023292579,0.11918234825134277,0.0,0.11918234825134277,0.11918234825134277,0,0.0,0.0,1636492329.252019149,1636492329.252019149,0,0.0,0.0,1636492329.252019149,0,0,0,0,0,0,0,8.390505116462895,8.390505116462895,54,66,60.0,8.48528137423857,72.0,0,0,1,0,1,0,0,0,1.2222222222222223,60.0,0.0,0.0,66.0,1.0,1.0,0,1.0,1.0,1.0,66.0,1.0,54.0,501,0,1,52,1.1918234825134277e-10,0.0,1.1918234825134277e-10,0.0,0,0,0,0,None
18.66.218.84:443<->192.168.100.7:443,18.66.218.84,443,192.168.100.7,39558,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1636492345.086141814,1636492345.086141814,0,0.0,0.0,1636492345.086141814,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,37,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.100.7:39558<->18.66.218.84:443,192.168.100.7,39558,18.66.218.84,443,TCP,0,0.001696256,4,2,288,195,66,78,72.0,6.928203230275509,90,105,97.5,10.606601717798213,284744.7555086025,3537.2019317838817,0.0003392219543457031,0.0005631696506153258,0.001323699951171875,2.384185791015625e-07,0.001696300,0.0005654333333333333,0.0007007978740637941,0.001360430,0.000037157,3.63E-7,3.63e-07,0.0,0.001360430,3.63E-7,0,2,0,0,0,0,2358.1346211892546,1179.0673105946273,66,105,80.5,14.989996664442591,224.7,1,0,0,2,6,0,0,0,1.476923076923077,80.5,0.0,31.5,115.2,2.5,0.7142857142857143,0,1.5,0.42857142857142855,4.0,288.0,2.0,195.0,501,37,4,52,1.6961097717285156e-12,0.0,1.6961097717285156e-12,0.0,0,0,0,0,None
13.67.9.5:443<->192.168.100.7:443,13.67.9.5,443,192.168.100.7,46318,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1636492369.31508335,1636492369.31508335,0,0.0,0.0,1636492369.31508335,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,0,0,1,0,1,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
52.201.168.222:443<->192.168.100.7:443,52.201.168.222,443,192.168.100.7,55914,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1636492375.058411593,1636492375.058411593,0,0.0,0.0,1636492375.058411593,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,110,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
52.201.168.222:443<->192.168.100.7:55908,52.201.168.222,443,192.168.100.7,55908,TCP,0,6.784e-05,2,1,209,66,97,112,104.5,10.606601717798213,66,66,66.0,0.0,4053655.6603773586,44221.698113207545,3.3974647521972656e-05,4.636153336198344e-05,6.67572021484375e-05,1.1920928955078125e-06,0.000001288,1.288e-06,0.0,0.000001288,0.000001288,0,0.0,0.0,0.000001288,0,2,0,0,0,0,0,29481.132075471698,14740.566037735849,66,112,91.66666666666667,23.45918441321721,550.3333333333333,1,0,0,2,3,0,0,0,3.1666666666666665,91.66666666666667,38.5,0.0,139.33333333333334,1.5,0.75,0,1.0,0.5,2.0,209.0,1.0,66.0,119,501,2,83,6.794929504394532e-14,0.0,6.794929504394532e-14,0.0,0,0,0,0,None
13.67.9.5:443<->192.168.100.7:443,13.67.9.5,443,192.168.100.7,46316,TCP,0,1,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1,0.0,0.0,0,0,0,0.0,0.0,1636492370.652422372,1636492370.652422372,0,0.0,0.0,1636492370.652422372,0,0,0,0,0,0,0,1,1,54,54,54.0,0.0,0.0,0,0,1,0,1,0,0,0,1,54.0,0.0,0.0,0,0,0,0,0,0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.100.7:55908<->52.201.168.222:55908,192.168.100.7,55908,52.201.168.222,443,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1636492375.088136348,1636492375.088136348,0,0.0,0.0,1636492375.088136348,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,501,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
