flow,src,src_port,dst,dst_port,protocol,timestamp,duration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,max_fpktl,mean_fpktl,std_fpktl,min_bpktl,max_bpktl,mean_bpktl,std_bpktl,flowBytesPerSecond,flowPktsPerSecond,mean_flowiat,std_flowiat,max_flowiat,min_flowiat,total_fiat,mean_fiat,std_fiat,max_fiat,min_fiat,total_biat,mean_biat,std_biat,max_biat,min_biat,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,var_flowpktl,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,avgPacketSize,fAvgSegmentSize,bAvgSegmentSize,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,fSubFlowAvgPkts,fSubFlowAvgBytes,bSubFlowAvgPkts,bSubFlowAvgBytes,fInitWinSize,bInitWinSize,fDataPkts,fHeaderSizeMin,mean_active_s,std_active_s,max_active_s,min_active_s,mean_idle_s,std_idle_s,max_idle_s,min_idle_s,label
18.210.49.78:443<->192.168.100.7:443,18.210.49.78,443,192.168.100.7,39546,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1636492378.997095387,1636492378.997095387,0,0.0,0.0,1636492378.997095387,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,141,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.100.7:39546<->18.210.49.78:39546,192.168.100.7,39546,18.210.49.78,443,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1636492379.007840942,1636492379.007840942,0,0.0,0.0,1636492379.007840942,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,501,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
18.210.49.78:443<->192.168.100.7:443,18.210.49.78,443,192.168.100.7,39548,TCP,0,1,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1,0.0,0.0,0,0,0,0.0,0.0,1636492378.871325014,1636492378.871325014,0,0.0,0.0,1636492378.871325014,0,0,0,0,0,0,0,1,1,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,1.0,66.0,0.0,0.0,110,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.100.7:48610<->34.208.179.9:443,192.168.100.7,48610,34.208.179.9,443,TCP,0,0.302171904,2,1,128,74,54,74,64.0,14.142135623730951,74,74,74.0,0.0,668.493653202119,9.928123562407709,0.1510859727859497,0.21360444293806205,0.3021271228790283,4.482269287109375e-05,0.302172057,0.302172057,0.0,0.302172057,0.302172057,0,0.0,0.0,0.302172057,0,0,0,0,0,0,0,6.618749041605139,3.3093745208025696,54,74,67.33333333333333,11.547005383792516,133.33333333333334,0,2,1,0,1,0,0,0,1.7297297297297298,67.33333333333333,0.0,0.0,128.0,1.0,0.75,0,1.0,0.75,2.0,128.0,1.0,74.0,64240,26847,2,40,3.021719455718994e-10,0.0,3.021719455718994e-10,0.0,0,0,0,0,None
35.232.111.17:80<->192.168.100.7:80,35.232.111.17,80,192.168.100.7,51970,TCP,0,0.000658688,2,0,132,0,66,66,66.0,0.0,0,0,0.0,0.0,200398.3676642052,3036.338904003109,0.0006587505340576172,0.0,0.0006587505340576172,0.0006587505340576172,0.000658684,0.000658684,0.0,0.000658684,0.000658684,0,0.0,0.0,0.000658684,0,0,0,0,0,0,0,3036.338904003109,0.0,66,66,66.0,0.0,0.0,1,0,0,0,2,0,0,0,1,66.0,0.0,0.0,0,0,0,0,0,0,2.0,132.0,0.0,0.0,508,0,2,52,6.587505340576172e-13,0.0,6.587505340576172e-13,0.0,0,0,0,0,None
192.168.100.7:51970<->35.232.111.17:80,192.168.100.7,51970,35.232.111.17,80,TCP,0,0.001121024,3,1,210,214,66,78,70.0,6.928203230275509,214,214,214.0,0.0,378225.62228819367,3568.166248001827,0.00037368138631184894,0.0003119836548138891,0.0006520748138427734,3.647804260253906e-05,0.001120966,0.000560483,0.0001812470243672982,0.000688644,0.000432322,0,0.0,0.0,0.000688644,0,0,1,0,0,0,0,2676.1246860013703,892.0415620004568,66,214,106.0,72.22188034107116,5216.0,1,0,0,1,4,0,0,0,0.9813084112149533,106.0,0.0,148.0,105.0,2.0,0.8,0,1.0,0.4,3.0,210.0,1.0,214.0,502,508,3,52,1.1210441589355469e-12,0.0,1.1210441589355469e-12,0.0,0,0,0,0,None
